2025-08-10,"COFFEE BEAN VANCOUVER, BC",4.25,,5160********1234
2025-08-09,"HOME SUPPLIES VANCOUVER, BC",89.60,,5160********1234
2025-08-08,"CARD PAYMENT THANK YOU",,350.00,5160********1234
2025-08-08,"PARKING METER VANCOUVER, BC",6.50,,5160********1234
2025-08-07,"RESTAURANT RICHMOND, BC",22.30,,5160********1234
2025-08-06,"DRUGSTORE RICHMOND, BC",7.25,,5160********1234
2025-08-05,"STREAMING SERVICE ONLINE",9.99,,5160********1234
2025-08-04,"BOOKSTORE DOWNTOWN, BC",32.15,,5160********1234
2025-08-04,"GYM MEMBERSHIP VANCOUVER, BC",45.90,,5160********1234
2025-08-03,"SUBWAY 234 VANCOUVER, BC",18.75,,5160********1234
2025-08-03,"AIRLINE TICKET VANCOUVER, BC",120.00,,5160********1234
2025-08-02,"URBAN GROCERS VANCOUVER, BC",58.10,,5160********1234
2025-08-01,"COFFEE BEAN VANCOUVER, BC",12.45,,5160********1234
2025-07-31,"HOTEL CHECKOUT VANCOUVER, BC",210.00,,5160********1234
2025-07-30,"PAYMENT THANK YOU",,175.00,5160********1234
